Registration 	Roll	M( CSE) 101	HU 101	PH 101	CS 101	ME 101	ME 194	PH 191	HU 191	ME 193	CS 191	XC 181	SGPA
151230110064	150403064	D	B	D	F	D	A	E	E	A	B	B	6.21
151230110099	150403099	F	A	D	D	D	E	A	E	A	B	B	6.21
151230110103	150403103	C	B	F	C	F	E	E	E	A	B	B	6.14
151230110008	150403008	F	A	D	C	D	C	E	E	A	B	B	6.07
151230110069	150403069	F	C	D	D	D	A	E	E	A	C	E	6.03
151230110052	150403052	F	C	F	C	D	A	A	E	E	E	B	6.00
151230110019	150403019	F	B	D	C	F	A	B	E	E	E	O	6.00
151230110034	150403034	F	B	D	D	D	B	A	E	B	A	E	5.97
151230110004	150403004	F	C	F	C	D	A	A	E	E	A	B	5.93
151230110050	150403050	F	B	C	D	F	E	A	E	E	B	B	5.93
151230110018	150403018	F	B	F	C	F	O	E	E	A	O	B	5.90
151230110063	150403063	F	B	D	D	C	B	A	A	B	C	B	5.83
151230110083	150403083	F	B	D	C	F	A	E	E	A	B	A	5.83
151230110110	150403110	F	B	D	F	D	E	B	E	A	B	E	5.83
151230110120	150403120	F	B	D	C	F	E	A	E	A	C	E	5.83
151230110016	150403016	D	B	F	C	F	B	E	E	A	B	B	5.79
151230110009	150403009	F	B	F	D	D	A	E	E	A	B	B	5.79
151230110076	150403076	F	C	F	B	D	E	C	E	B	C	O	5.76
151230110021	150403021	F	C	F	D	D	B	E	E	A	B	O	5.72
151230110108	150403108	F	B	D	C	F	E	B	E	A	C	B	5.69
151230110087	150403087	F	B	F	D	D	A	A	E	B	C	O	5.66
151230110091	150403091	F	A	D	D	D	C	C	E	B	C	B	5.59
151230110038	150403038	F	A	F	C	F	A	B	E	A	E	B	5.55
151230110062	150403062	F	D	F	D	F	E	E	E	E	B	A	5.48
151230110089	150403089	D	B	F	F	F	E	C	E	E	C	B	5.41
151230110067	150403067	F	B	F	F	F	E	A	E	A	E	B	5.24
151230110035	150403035	F	B	F	D	F	B	A	E	B	A	E	5.24
151230110029	150403029	F	C	F	C	F	B	A	E	B	A	B	5.21
151230110086	150403086	F	B	F	D	F	C	A	E	C	C	O	4.93
151230110072	150403072	F	C	F	F	F	B	C	E	B	B	B	4.59
151230110010	150403010	F	F	I	I	I	I	I	E	I	I	B	2.66
